first,last,title,quote,,
Mark,Rasch,former federal prosecutor,It seems unlikely that North Korea has the capability to execute an attack of this sophistication.,,
Kevin,Thompson,the noted data alchemist,The data seems inconclusive.,,
Trish,Tarter,former CISO,North Korea barely even has the Internet. I don’t see how they could be behind an attack like this.,,
Jonell,Jarret,CISSP certificate holder,The threat intelligence gathered from our multiple Incident Response engagements indicate that North Korea has been falsely accused.,,
Luciano,Lariviere,DeVry graduate,I don’t think North Korea did it.,,
Loreen,Laux,Ph.D hopeful,My research indicates that the government of North Korea cannot possibly be responsible for this attack in any way.,,
August,Alberty,White House security consultant,"Regardless of what my employer may say, this cannot be the work of North Korea.",,
Nellie,Nau,security product pre-sales engineer,"Our product indicates a different, more sinister source behind the Sony attack.",,
Georgetta,Gaertner,East-Asia regional subject-matter-expert,DPRK is much more interested in damaging assets in South Korea than going after a movie studio in the United States.,,
Erick,Errico,well-known malware analyst,The malware used in the Sony attack has been seen in several other attacks which were not attributed to North Korea.,,
Louvenia,Laubscher,cyber-security expert,I don’t think North Korea did it.,,
Erlie,Elzey,"the director of advanced threat research at a major security vendor,","Our product indicates a different, more sinister source behind the Sony attack.",,
Dan,Tentler,noted security consultant,I don’t think North Korea did it.,,
Marc,Rogers,renowned hacker,"The Tools, Tactics, and Procedures used by the threat actor are not consistent with state-sponsored activity previously attributed to North Korea.",,
Kim,Zetter,well-known Wired columnist,I have statements from anonymous official sources stating that the evidence linking this attack to North Korea are dubious at best. It is likely that another source is behind the attack.,,
Jack,Goldsmith,Harvard Law professor and security expert,I don’t think North Korea did it.,,
The,Grugq,mysterious online personality,The chatter on the underground hacker forums indicates that the threat originated elsewhere.,,
Peter W.,Singer,author,I don’t think North Korea did it.,,
